temperature_c,pressure_atm,catalyst_type_index,flow_rate_lph,reaction_yield_pct
315.3,11.0,3,190.8,84.91
236.1,14.0,2,129.4,75.51
284.9,9.7,4,178.5,75.18
286.7,7.2,1,176.7,36.03
370.5,14.5,4,198.5,95.13
151.7,11.0,2,150.1,68.64
133.7,5.9,2,65.7,32.52
225.9,13.3,2,166.1,64.97
273.2,19.9,1,49.4,54.16
262.9,6.4,2,139.8,55.05
256.9,19.4,1,20.3,54.95
361.9,9.7,2,15.1,34.4
381.6,11.1,4,129.1,83.79
186.1,8.4,3,44.6,64.11
176.4,7.5,4,182.1,81.91
217.8,9.7,1,184.4,58.91
229.2,7.5,4,124.4,74.47
218.9,18.1,3,39.7,92.55
348.1,8.0,3,24.7,42.7
323.5,15.1,4,158.0,90.25
