temperature_c,pressure_atm,catalyst_type_index,flow_rate_lph,reaction_yield_pct
158.9,1.1,3,164.9,59.66
145.9,5.1,4,131.7,75.71
188.9,4.2,2,10.1,33.98
124.2,4.5,1,196.6,56.25
85.8,2.9,4,175.8,74.29
190.8,3.3,1,138.6,35.37
121.0,5.2,4,175.2,73.95
172.6,8.0,1,68.7,27.66
195.9,3.4,4,169.8,67.89
164.4,2.2,2,187.8,53.32
62.2,2.8,1,46.0,31.77
88.0,4.0,3,179.1,71.46
89.5,9.4,1,148.6,67.78
179.2,4.6,1,96.2,40.34
105.3,1.9,4,16.9,59.03
196.4,5.6,2,157.0,60.41
92.1,4.9,4,195.9,97.52
89.3,1.7,1,159.5,35.38
167.8,7.4,3,155.6,67.81
117.5,2.8,1,45.8,21.06
128.3,2.6,1,82.1,36.4
115.1,5.6,1,22.1,26.08
108.2,8.4,3,113.9,70.16
113.6,6.4,3,193.4,73.24
191.2,5.3,2,176.0,55.17
